galaxy id ra dec class
ngc1097 3424.0 41.58119978948035 -30.275885589829564 2.0
ngc1097 4052.0 41.58184859746043 -30.273537231435093 1.0
ngc1097 4202.0 41.57735161857295 -30.27289945499757 2.0
ngc1365 1064.0 53.399386408656284 -36.14207901254094 2.0
ngc1365 1093.0 53.40006932831611 -36.14192452550615 1.0
ngc1365 1115.0 53.3997557434687 -36.14183505977943 2.0
ngc1365 1284.0 53.399485436096775 -36.14116129162048 2.0
ngc1365 1748.0 53.400557812065856 -36.13877002289805 1.0
ngc1385 7.0 54.36029910735064 -24.521248270554434 1.0
ngc1385 1097.0 54.36786000582057 -24.501147820007162 1.0
ngc1385 1566.0 54.378288704524685 -24.497791341107238 2.0
ngc1512 178.0 60.886219801276155 -43.40006181131738 2.0
ngc1512 1003.0 60.94764187031952 -43.363694570861625 1.0
ngc1512 1547.0 60.97783747219573 -43.350065071405346 1.0
ngc1512 1819.0 60.97664839741073 -43.346961488309084 1.0
ngc1559 633.0 64.39649937212705 -62.79480165524351 1.0
ngc1559 986.0 64.4187352372831 -62.79292442273245 2.0
ngc1559 3434.0 64.43578097659494 -62.78629813202786 1.0
ngc1559 6198.0 64.38400374459215 -62.7788586237682 1.0
ngc1566 1163.0 65.020815135636 -54.950521646972334 2.0
ngc1566 8059.0 64.9903487479479 -54.921184050003696 2.0
ngc1672 2957.0 71.42473018459785 -59.24756522129434 1.0
ngc1672 3016.0 71.42459246151562 -59.247453946550884 1.0
ngc1672 3439.0 71.42512577072678 -59.246669502949096 2.0
ngc2903 9188.0 143.04031507378596 21.51851657088526 2.0
ngc3351 3004.0 160.98999751596466 11.701873910749255 1.0
ngc3621 15674.0 169.57856198680705 -32.79511296190739 2.0
ngc4321 3679.0 185.72883502137162 15.823610248027052 1.0
ngc4535 1322.0 188.58454018039143 8.198084093489426 2.0
ngc4654 1064.0 190.98566347523695 13.126668205128668 1.0
ngc5248 1907.0 204.38119009239023 8.886299361108406 1.0
ngc7496 573.0 347.4470954952019 -43.427900537019994 1.0
