galaxy id ra dec class
ngc0628c 4582.0 24.17394089674818 15.783636993764102 1.0
ngc1097 3730.0 41.579064247052784 -30.274720606007318 1.0
ngc1317 159.0 50.684505342646034 -37.10365003061167 1.0
ngc1385 1572.0 54.37831337385472 -24.49775304013344 2.0
ngc1512 180.0 60.88566649414473 -43.40003834643305 1.0
ngc1512 1504.0 60.97427262819265 -43.35028311294436 3.0
ngc1559 973.0 64.41870396392082 -62.7929568929995 2.0
ngc1559 1702.0 64.3769530950633 -62.79050958626173 2.0
ngc1559 8538.0 64.366497401346 -62.77017636994301 1.0
ngc3621 11051.0 169.56880644140185 -32.81403835759531 1.0
ngc3621 15675.0 169.57856074146397 -32.79511277863143 1.0
ngc4254 5050.0 184.70667481215665 14.41649145877083 1.0
ngc4303 4289.0 185.4788660313386 4.473777069031808 2.0
ngc4321 3351.0 185.72888746743294 15.822307192328674 1.0
ngc4535 1298.0 188.58472709344275 8.197897989189448 1.0
ngc4535 1320.0 188.58450704521496 8.198076279599166 3.0
ngc4654 1072.0 190.98569251899875 13.126713107430506 1.0
ngc7496 576.0 347.44701245288985 -43.42783945444482 1.0
